id|moduleSlug|title|icon|version|description
1|waste-guide|Afvalwijzer|trash-bin|1.0.0|Bekijk waar afval naartoe kan en wat de ophaaldagen zijn.
2|contact|Contact|chatting|1.0.0|Heeft u een vraag of wilt u iets weten?
3|redirects|Direct regelen|checkmark|1.0.0|Op de website vindt u alle informatie die nog niet in de app zit.
4|open-waste-container|Gft-container openen|organic-waste-container|1.0.0|Open een container met de app in plaats van een plastic pas.
5|report-problem|Melding doen|alert|1.0.0|Ziet u iets wat stuk is of opgeruimd moet worden?
6|about|Over deze app|info|1.0.0|Lees meer over deze app en help ons de app verbeteren.
7|construction-work-editor|Plaats berichten|announcement|1.0.0|Hier kun je als omgevingsmanager berichten plaatsen bij werkzaamheden.
8|city-pass|Stadspas|housing|1.0.0|Krijg korting op vele producten met je stadspas.
9|welcome|Welkomstscherm|housing|1.0.0|Bekijk een mooi Amsterdams beeld bij het starten van de app.
10|welcome|Welkomstscherm|facade|1.0.1|Bekijk een mooi Amsterdams beeld bij het starten van de app.
11|construction-work|Werkzaamheden|projects|1.0.0|Blijf op de hoogte van werkzaamheden in uw buurt.
