id|releaseVersion|moduleSlug|moduleVersion|status
1|0.27.0|construction-work-editor|1.0.0|1
3|0.27.0|open-waste-container|1.0.0|1
4|0.27.0|construction-work|1.0.0|1
5|0.27.0|report-problem|1.0.0|1
6|0.27.0|contact|1.0.0|1
7|0.27.0|redirects|1.0.0|1
8|0.27.0|about|1.0.0|1
9|0.27.0|welcome|1.0.1|1
10|0.28.0|construction-work-editor|1.0.0|1
12|0.28.0|open-waste-container|1.0.0|1
13|0.28.0|construction-work|1.0.0|1
14|0.28.0|report-problem|1.0.0|1
15|0.28.0|contact|1.0.0|1
16|0.28.0|redirects|1.0.0|1
17|0.28.0|about|1.0.0|1
18|0.28.0|welcome|1.0.1|1
19|0.29.0|construction-work-editor|1.0.0|1
21|0.29.0|open-waste-container|1.0.0|1
22|0.29.0|construction-work|1.0.0|1
23|0.29.0|report-problem|1.0.0|1
24|0.29.0|contact|1.0.0|1
25|0.29.0|redirects|1.0.0|1
26|0.29.0|about|1.0.0|1
27|0.29.0|welcome|1.0.1|1
28|0.30.0|construction-work-editor|1.0.0|1
30|0.30.0|open-waste-container|1.0.0|1
31|0.30.0|construction-work|1.0.0|1
32|0.30.0|report-problem|1.0.0|1
33|0.30.0|contact|1.0.0|1
34|0.30.0|redirects|1.0.0|1
35|0.30.0|about|1.0.0|1
36|0.30.0|welcome|1.0.1|1
37|0.31.0|construction-work-editor|1.0.0|1
39|0.31.0|open-waste-container|1.0.0|1
40|0.31.0|construction-work|1.0.0|1
41|0.31.0|report-problem|1.0.0|1
42|0.31.0|contact|1.0.0|1
43|0.31.0|redirects|1.0.0|1
44|0.31.0|about|1.0.0|1
45|0.31.0|welcome|1.0.1|1
46|0.32.0|construction-work-editor|1.0.0|1
48|0.32.0|open-waste-container|1.0.0|1
49|0.32.0|construction-work|1.0.0|1
50|0.32.0|report-problem|1.0.0|1
51|0.32.0|contact|1.0.0|1
52|0.32.0|redirects|1.0.0|1
53|0.32.0|about|1.0.0|1
54|0.32.0|welcome|1.0.1|1
64|0.33.0|construction-work-editor|1.0.0|1
66|0.33.0|open-waste-container|1.0.0|1
